"feature_id","feature_class","mrm_pattern","is_istd"
"PC 28:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 28:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 29:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 29:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 30:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 31:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 31:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 31:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 32:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 32:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 32:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 32:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 33:4","PC","PC (Pos) Pro=184.1",FALSE
"PC 33:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 33:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 33:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 33:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 34:5","PC","PC (Pos) Pro=184.1",FALSE
"PC 34:4","PC","PC (Pos) Pro=184.1",FALSE
"PC 34:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 34:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 34:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 34:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 35:6","PC","PC (Pos) Pro=184.1",FALSE
"PC 35:5","PC","PC (Pos) Pro=184.1",FALSE
"PC 35:4","PC","PC (Pos) Pro=184.1",FALSE
"PC 35:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 35:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 35:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 35:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 36:6","PC","PC (Pos) Pro=184.1",FALSE
"PC 36:5","PC","PC (Pos) Pro=184.1",FALSE
"PC 36:4","PC","PC (Pos) Pro=184.1",FALSE
"PC 36:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 36:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 36:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 36:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 37:6","PC","PC (Pos) Pro=184.1",FALSE
"PC 37:5","PC","PC (Pos) Pro=184.1",FALSE
"PC 37:4","PC","PC (Pos) Pro=184.1",FALSE
"PC 37:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 37:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 37:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 37:0","PC","PC (Pos) Pro=184.1",FALSE
"PC 38:6","PC","PC (Pos) Pro=184.1",FALSE
"PC 38:5","PC","PC (Pos) Pro=184.1",FALSE
"PC 38:4","PC","PC (Pos) Pro=184.1",FALSE
"PC 38:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 38:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 39:8","PC","PC (Pos) Pro=184.1",FALSE
"PC 39:7","PC","PC (Pos) Pro=184.1",FALSE
"PC 39:6","PC","PC (Pos) Pro=184.1",FALSE
"PC 39:5","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:8","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:7","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:6","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:5","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:4","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:3","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:2","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:1","PC","PC (Pos) Pro=184.1",FALSE
"PC 40:0","PC","PC (Pos) Pro=184.1",FALSE
"SM 30:1 (IS)","SM","SM (Pos) Pro=184.1",TRUE
"SM 34:2","SM","SM (Pos) Pro=184.1",FALSE
"SM 34:1","SM","SM (Pos) Pro=184.1",FALSE
"SM 34:0","SM","SM (Pos) Pro=184.1",FALSE
"SM 35:1","SM","SM (Pos) Pro=184.1",FALSE
"SM 35:0","SM","SM (Pos) Pro=184.1",FALSE
"SM 36:3","SM","SM (Pos) Pro=184.1",FALSE
"SM 36:2","SM","SM (Pos) Pro=184.1",FALSE
"SM 36:1","SM","SM (Pos) Pro=184.1",FALSE
"SM 36:0","SM","SM (Pos) Pro=184.1",FALSE
"SM 37:3","SM","SM (Pos) Pro=184.1",FALSE
